# p1 - c1 sync,p1 - c2 sync,p1 - c3 sync,p2 - c1 sync,p2 - c2 sync,p2 - c3 sync,p3 - c1 sync,p3 - c2 sync,p3 - c3 sync,p4 - c1 sync,p4 - c2 sync,p4 - c3 sync,p5 - c1 sync,p5 - c2 sync,p5 - c3 sync,c1 - p1,c1 - p2,c1 - p3,c1 - p4,c1 - p5,c2 - p1,c2 - p2,c2 - p3,c2 - p4,c2 - p5,c3 - p1,c3 - p2,c3 - p3,c3 - p4,c3 - p5
61.35488,61.29098,61.76686,11.92093,11.90400,12.06708,86.82179,86.32588,86.10582,21.10600,21.10195,21.03186,29.87599,29.83212,29.87194,21.68918,23.16904,21.75999,21.39592,21.43979,21.75999,24.13511,22.21107,21.39091,21.30294,21.32583,24.03212,22.39490,21.49391,21.36207
45.52197,45.35103,45.50004,12.19583,12.58278,12.46285,24.74594,24.48702,24.38092,102.89788,102.90980,103.22499,63.60197,63.60698,63.51089,21.79217,22.32504,22.93301,23.77200,25.70891,22.00699,21.86298,23.39983,23.98396,25.71392,21.85893,22.23706,23.29993,23.71788,25.91896
47.94312,47.95504,48.26999,17.39001,17.39001,18.35299,72.70718,72.70598,73.07816,48.53010,48.54202,48.85817,112.90097,112.95795,113.24096,22.18604,25.23088,23.59080,23.80705,21.90399,22.14909,24.14894,23.39411,24.06096,21.92521,21.86704,24.92499,24.05906,23.77915,21.66414
66.17022,66.00118,66.63513,112.31017,112.15496,112.46395,31.75807,31.75712,32.13191,49.59202,50.00997,49.56293,69.61107,69.66805,69.95010,23.32187,21.85798,23.61202,21.90781,22.43996,24.38712,21.66295,23.59390,21.56496,22.54581,23.24700,21.35205,24.09291,21.72494,21.99602
11.30605,11.13796,11.77192,57.05595,56.90002,57.20997,83.06217,83.26912,83.14514,56.55289,56.39601,56.70691,15.44714,15.50412,15.78522,23.34714,22.50099,22.32099,25.79498,22.49217,24.40715,21.87896,22.36414,26.10898,22.56918,23.26584,21.64817,23.53311,25.62404,22.03798
1278.37205,1144.47498,1232.57899,1278.59211,1144.69600,1232.79691,1281.03614,1147.26400,1235.28004,1277.88711,1144.10996,1232.13005,1258.67701,1124.83096,1212.89897,22.66693,22.73202,26.66783,26.55506,26.37506,24.27506,29.76108,27.43006,30.56216,25.01202,22.09902,22.27998,26.98588,26.77321,25.09809
2147.38894,2248.36206,2379.50206,1174.69788,1040.80606,1128.90506,2149.97411,2251.74904,2382.56311,2146.77715,2248.31414,2379.32706,1155.69901,1021.85607,1109.92098,33.00595,22.79401,27.68397,29.33908,26.40295,24.13917,29.94514,30.09701,27.71401,25.11692,27.53305,22.48812,37.50205,35.88891,25.17700
2041.42380,2142.39883,2273.53787,1071.63787,937.74986,1025.84577,2047.90306,2149.67704,2280.49016,2043.46800,2145.00999,2276.01600,1053.63107,919.79408,1007.85804,33.02383,22.82286,29.96707,29.37388,26.43013,24.31202,29.96492,30.17020,27.74620,25.19798,27.64702,24.86205,37.61292,36.17597,25.20514
1989.24112,2090.21497,2221.35305,1019.50192,885.61678,973.71078,1995.82195,2097.59402,2228.40714,1991.45794,2093.00590,2224.00498,1001.43719,867.60497,955.66607,33.02908,22.84980,30.16496,29.45495,26.45493,24.48106,30.17187,30.24006,27.92192,25.21205,27.70782,24.90902,37.65416,36.25798,25.23804
1901.01409,2001.98817,2133.12507,931.10108,797.21999,885.30993,1907.27806,2009.04608,2139.85801,1903.26595,2004.83108,2135.81109,913.16605,779.34003,867.39707,36.30900,22.88699,30.23410,29.73294,26.47996,24.64795,30.32303,30.32207,27.96197,25.53701,27.81081,24.93906,37.88209,36.35693,25.63000
1812.88695,1913.86008,2044.99507,842.72385,708.84991,796.93484,1818.74084,1920.50886,2051.32103,1815.26613,1916.84413,2047.80912,824.78499,690.96398,779.01697,36.39197,22.91393,30.42698,29.86002,26.50714,24.70517,30.33304,30.39408,28.27811,25.84410,27.96698,24.97196,38.05995,36.45301,25.77710
1771.80791,1872.78008,2003.91507,801.47791,667.60683,755.68986,1777.69494,1879.45890,2010.27083,1774.03808,1875.62013,2006.57892,783.76317,649.94621,737.99610,36.50498,22.94803,30.52306,30.06101,26.53289,24.79219,30.45392,30.46393,28.39589,26.05009,28.15509,24.99700,38.15198,36.64684,26.67403
1655.76601,1756.73604,1887.87103,685.21810,551.35202,639.43291,1661.44586,1763.21101,1894.02080,1657.69291,1759.27901,1890.23185,667.62304,533.81109,621.85717,36.61680,22.98117,33.07199,30.29609,26.55792,24.85991,30.46393,30.50303,28.43404,26.25108,28.27501,25.02394,38.20395,36.74603,26.71599
1532.79996,1633.76808,1764.90211,561.82694,427.96493,516.04509,1537.97817,1639.74714,1770.55001,1534.15990,1635.75101,1766.69788,544.40498,410.59804,498.64101,36.82995,26.23796,33.07319,30.62105,26.58296,24.95217,30.47395,30.58600,28.46909,28.94187,28.40900,25.05898,38.25808,36.81302,26.75009
1438.63511,1539.62398,1670.73393,467.61799,333.76002,421.83685,1443.38107,1545.15409,1675.95100,1439.70609,1541.30006,1672.24097,450.11902,316.31708,404.35600,36.98993,26.28207,33.12087,33.27012,26.60799,25.63190,30.48611,31.14510,28.84102,29.24919,28.60093,25.08783,38.32912,36.91697,26.78299
1391.29400,1492.28787,1623.39187,420.14813,286.29303,374.36795,1395.94793,1497.72596,1628.51596,1392.01617,1493.61801,1624.55106,403.12719,269.33002,357.36609,36.97991,26.31497,33.13684,33.30708,26.67689,25.73109,30.72309,31.81291,30.27105,30.30205,28.66817,25.11191,38.49506,37.03594,26.81994
1287.05502,1388.05389,1519.15097,315.76800,181.91814,269.98997,1291.18800,1392.97199,1523.75484,1287.73999,1389.35304,1520.27392,298.93708,165.14397,253.17597,36.98587,26.34811,33.15306,33.39505,26.70193,25.80690,30.89213,32.67097,30.30300,30.32184,28.80597,25.18797,38.63692,37.10103,26.89791
1236.74202,1337.74495,1468.83607,1237.82206,1339.28418,1470.18600,1241.26196,1343.04404,1473.82689,1237.73885,1339.36095,1470.27087,248.56281,114.77494,202.80290,36.99303,36.96299,33.20694,33.54907,26.78108,25.91991,30.34616,33.03814,30.32613,30.43103,29.01793,36.30710,38.72800,37.15801,26.93796
1147.54200,1248.55018,1379.63414,1148.81396,1250.28205,1381.17504,1152.24600,1254.02904,1384.80902,3389.58812,1287.91499,2461.16614,158.87594,25.09403,113.11793,37.00709,37.03094,33.22005,23.16403,26.81589,26.01004,30.37000,33.09703,22.55082,30.46799,29.06585,37.21809,38.81788,21.61193,26.97301
1024.33419,1125.34618,1256.42514,1025.34103,1126.81484,1257.70187,1029.10113,1130.88298,1261.66201,3266.07180,1164.39390,2337.64386,984.86400,1107.81288,1239.09283,37.01115,37.03880,33.23102,23.56386,22.18509,26.05391,30.44105,33.24914,22.85504,25.93303,29.33002,37.25004,38.90300,21.69299,24.22905
903.86009,1004.87709,1135.94913,905.45106,1006.93393,1137.81190,910.05206,1011.83200,1142.61103,3146.73805,1045.05086,2218.30297,3129.21095,3188.23791,3188.23695,37.01401,37.11104,33.24580,23.79799,48.43593,26.44086,30.51090,33.39386,23.16093,31.74806,29.40488,37.31680,38.95903,21.76809,40.67302
763.70192,864.72392,995.78905,765.19394,866.69302,997.55287,769.75298,871.53196,1002.30908,3006.34122,904.64711,2077.89803,2988.85179,3047.87588,3047.87588,37.01591,37.12296,33.25891,24.03593,48.51985,26.47400,30.58314,33.46515,25.53105,31.77786,29.54102,37.34899,39.06417,24.99008,40.77601
659.38592,760.41198,891.47115,660.68912,762.19296,893.04495,665.26890,767.04693,897.82405,2902.04310,800.34399,1973.59610,2884.66311,2943.68315,2943.68410,37.01806,37.18209,33.27799,24.23596,48.59304,26.50189,30.66397,33.58793,25.63119,31.80504,29.66595,37.41407,39.16693,25.03109,40.87114
617.12909,718.15991,849.21193,618.31808,719.82503,850.67201,622.90907,724.68591,855.46303,2859.57217,757.86710,1931.11920,2842.54694,2901.56412,2901.56507,37.00686,37.18901,33.29301,24.42598,49.49903,26.53122,30.73478,33.72216,25.76089,31.83103,29.88911,37.44292,39.27302,25.06280,40.90691
