# p1 - c1 sync,p1 - c4 sync,p2 - c2 sync,p2 - c5 sync,c1 - p1,c2 - p2,c4 - p1,c5 - p2
428.82895,532.48310,1271.58594,1332.40485,44.12198,22.47906,83.69017,205.36208
36.63802,36.64207,74.67413,75.22511,145.91908,84.32198,374.00508,204.58484
80.29294,80.26385,42.24610,42.37103,216.94207,45.64095,366.85181,44.34204
62.58011,276.67999,37.03403,36.65090,45.60685,213.67192,72.29400,133.62384
66.16783,68.55893,53.59077,54.68678,48.65909,45.53890,46.01598,264.90402
262.37106,261.98792,129.93693,40.11297,97.21613,58.25400,98.07491,244.92288
192.28601,191.92600,108.55103,108.40297,44.73710,146.60192,211.13896,105.56293
91.56108,90.90400,1157.98306,1157.96900,44.82198,130.98001,45.87698,216.46810
162.15301,391.84880,76.48301,310.45604,107.42903,49.47805,257.66802,524.41096
39.78801,39.29210,92.70406,92.49306,46.17214,67.90400,47.07909,243.57104
479.29001,41.48793,100.82006,102.03004,41.36205,194.76604,45.08615,216.05420
44.30103,44.94905,38.19203,38.49888,49.77489,46.25416,67.21902,589.50591
335.80589,411.60083,75.59204,75.18721,45.54987,205.81102,70.22309,45.46022
35.38799,35.67600,68.61019,358.65617,70.88017,115.19217,70.73307,529.64807
36.19719,36.28802,57.34301,56.56695,87.71110,108.57010,212.41498,109.56788
68.42899,194.82708,37.39595,531.81601,183.44402,67.46888,23.58913,113.76405
35.89916,35.31003,36.88598,49.49594,45.09497,47.28413,45.80498,46.67521
208.35185,169.47103,62.53505,896.34204,188.68899,210.69694,27.19593,98.18697
42.52601,42.91701,37.11891,38.08093,122.21313,44.73495,121.79995,43.85495
36.66782,117.76304,33.81491,612.21194,46.15712,68.52889,211.44104,44.43192
1865.33689,1132.50494,1487.90288,1402.43888,23.94605,22.42804,184.01694,389.02402
983.71005,41.10599,39.71505,540.70807,23.51403,67.22999,189.51488,45.68386
60.12988,37.59193,1022.82500,122.36810,216.27998,23.43488,77.95191,722.21804
39.82306,85.05702,42.53197,42.74082,44.85011,252.25401,110.57615,44.76190
450.16789,65.73200,75.73819,75.99902,238.77692,147.50695,100.88110,205.43694
82.01194,35.80999,58.65908,59.02600,23.23198,495.00299,69.34094,47.58811
35.60591,36.63492,35.78591,1359.49802,45.86697,67.70301,211.37619,49.70217
224.47395,35.34102,1261.05285,688.30180,44.04187,22.01986,126.85990,234.33399
51.72992,51.62501,46.47899,1722.44596,68.41302,158.14590,478.46794,65.27090
36.14211,2705.63412,41.03899,41.40210,88.08398,80.32894,52.90604,79.37193
39.17384,670.52293,73.47202,73.01497,45.74585,145.81585,52.97589,146.21592
1210.88696,40.07792,65.92202,77.31795,347.94903,67.70301,139.92715,56.32091
173.54512,36.26919,231.23288,549.78204,45.43996,34.10292,182.55496,51.01395
121.81115,121.54412,35.63094,35.98809,266.09302,119.80295,48.32196,119.45820
35.33506,141.93392,192.10505,2854.72393,44.91687,44.86799,55.35889,143.69202
47.43004,47.49608,32.97806,779.30999,46.77510,64.81814,46.48995,143.74995
1546.53788,35.92491,39.31689,355.41010,24.24717,67.73806,45.56584,145.63203
38.81288,38.13100,41.94212,222.53013,227.53501,249.23897,91.07900,283.16998
69.97204,69.26203,95.16811,36.41295,189.48317,45.08090,193.11595,386.18803
102.10109,102.80013,56.74601,57.23119,45.39204,73.67206,45.19796,235.85105
357.36680,506.01387,34.07907,34.30915,664.24799,43.91408,21.51179,43.51807
39.15596,38.65886,198.21596,149.46580,130.66602,186.75089,131.24609,48.28286
122.73407,122.77007,74.71395,74.85104,56.16999,60.35590,460.84595,579.33807
36.84616,36.91912,40.53783,571.17701,48.08593,45.03584,47.78719,80.94215
248.43216,79.45395,1145.14303,359.01117,25.68197,21.57283,212.65793,151.17693
66.70213,499.47309,64.49389,110.18109,45.23993,87.14914,31.14319,64.02397
38.02800,38.19799,43.34402,44.52014,134.99999,46.18907,134.40895,242.77306
57.45721,56.73313,35.89582,36.05700,147.21394,136.75809,147.71080,100.72112
36.34095,1631.03390,714.16092,615.47279,93.88399,73.73714,188.54308,98.64998
328.53007,328.53007,80.76000,2303.50304,47.07503,278.93615,47.19782,44.71493
38.78999,38.43212,38.37299,72.52002,45.59302,355.24416,45.98308,399.75786
35.68006,1368.57510,34.24406,1001.96004,46.42296,249.00508,213.83810,262.33006
58.26306,36.67188,505.02205,74.78905,71.58899,23.25988,93.05501,70.76120
37.04095,37.34899,39.53600,39.47186,43.18404,75.54102,54.66390,75.21701
648.92697,684.11493,99.25079,703.00698,210.38008,45.26401,69.72599,45.59207
