# p1 - c1 sync,p1 - c4 sync,p2 - c2 sync,p2 - c5 sync,c1 - p1,c2 - p2,c4 - p1,c5 - p2
45.50195,45.65787,215.77883,215.66892,50.93813,45.13311,50.83919,45.20893
41.72301,42.26303,40.73715,40.70497,43.81204,45.75896,43.44916,45.71199
37.93192,38.56397,38.73396,39.43706,47.92285,44.42406,46.96488,43.52808
36.53097,35.88820,38.55991,38.20705,80.22904,165.64202,80.76382,165.87496
35.88700,35.00485,182.36804,182.43885,43.72287,45.05801,44.33203,44.85583
36.29708,35.40802,90.77001,90.02209,46.03004,54.36516,46.80109,54.91805
34.58095,34.24501,91.31289,91.01796,44.42811,46.11611,44.89708,46.42105
62.29901,62.60514,44.37995,44.60096,44.96884,46.04197,44.60502,45.80379
40.70497,40.91811,47.83702,48.50006,44.51895,51.36609,44.31701,50.53806
35.53009,35.42399,113.67798,113.36493,73.09103,44.62004,73.23503,45.10617
74.72396,74.45288,106.60410,106.47607,62.76417,85.25896,62.91699,85.38198
38.82694,38.72609,38.41496,38.00893,61.93805,137.40897,61.99098,137.34412
285.73704,285.67910,50.67182,50.08388,81.47001,58.40397,81.49099,58.87413
46.81301,46.27705,41.07189,40.85207,71.04015,47.75596,71.02704,48.03896
37.40001,36.46517,46.81396,46.78702,43.52903,77.00586,44.64698,76.95413
34.29794,34.87086,98.29187,97.74590,45.78590,86.66110,45.21203,86.99107
34.72519,34.81722,149.70517,148.93007,73.85802,45.89701,73.66800,46.77105
36.88192,37.05883,61.74088,62.13188,114.68601,45.15982,114.54988,44.98100
41.65912,41.81004,223.57583,223.41394,130.25188,47.25718,130.12099,47.06907
35.86078,36.28683,45.51005,45.44210,47.88685,43.41197,47.05119,43.46585
36.68880,36.32402,39.66904,38.81097,53.63703,46.32306,53.75981,47.02115
41.01110,40.93194,71.53893,70.74404,46.23699,48.41590,46.50283,49.11804
45.86506,46.01192,117.68389,117.89203,43.14590,46.51093,43.37597,46.23294
41.20612,41.86916,39.33811,40.14397,46.27085,80.41501,45.70389,79.22792
35.25805,35.15506,33.93698,33.81586,45.22705,46.14091,45.23015,46.27705
35.90989,36.04388,47.23310,47.32299,45.36295,45.14790,45.26305,44.75594
35.17294,35.76994,85.66904,85.52504,44.15607,44.76285,43.38717,44.91806
35.80022,35.80022,57.63102,57.62196,60.71496,47.52302,60.96387,47.13297
33.98991,33.98991,106.10700,106.13704,44.11697,45.77899,44.01517,45.71700
35.47597,35.53414,88.32693,87.67390,77.83508,106.32992,77.74687,106.86421
41.64815,41.65196,82.46708,82.64399,150.89798,45.23587,150.43688,45.12286
120.60809,120.72396,37.39405,37.03189,45.98999,49.78585,45.75205,49.61109
64.25500,64.28218,41.26692,41.14389,138.56792,44.88111,138.29803,45.29405
40.78889,40.93790,84.23901,84.31292,44.07406,44.29984,43.98108,44.40403
34.27505,34.64389,105.51214,105.51810,80.83200,63.06291,80.57690,62.70289
77.83103,78.14312,56.27489,56.44011,110.99100,46.83900,110.58497,46.55409
39.44516,39.19005,56.18095,56.21314,95.74509,90.59000,96.06814,90.41500
35.32410,35.70604,90.85703,90.77191,51.18513,46.22602,51.02301,46.29993
35.73608,36.47399,38.50007,38.47408,148.29707,46.40007,147.87602,46.17190
36.29994,36.50808,85.49404,85.36005,48.85602,46.04506,48.37298,46.09394
